date,Total
07/06/2019 0:00,7207.0
07/13/2019 0:00,7555.0
07/20/2019 0:00,6953.0
07/27/2019 0:00,6554.0
08/03/2019 0:00,6647.0
08/10/2019 0:00,6778.0
08/17/2019 0:00,6905.0
08/24/2019 0:00,7015.0
08/31/2019 0:00,8053.0
09/07/2019 0:00,9033.0
09/14/2019 0:00,10540.0
09/21/2019 0:00,11135.0
09/28/2019 0:00,12527.0
10/05/2019 0:00,14734.0
10/12/2019 0:00,16335.0
10/19/2019 0:00,17472.0
10/26/2019 0:00,17481.0
11/02/2019 0:00,18391.0
11/09/2019 0:00,20521.0
11/16/2019 0:00,21445.0
11/23/2019 0:00,24065.0
11/30/2019 0:00,23382.0
12/07/2019 0:00,27780.0
12/14/2019 0:00,29378.0
12/21/2019 0:00,33791.0
12/28/2019 0:00,37096.0
01/04/2020 0:00,39569.0
01/11/2020 0:00,37737.0
01/18/2020 0:00,37069.0
01/25/2020 0:00,39233.0
02/01/2020 0:00,41382.0
02/08/2020 0:00,41370.0
02/15/2020 0:00,40276.0
02/22/2020 0:00,37905.0
02/29/2020 0:00,38257.0
03/07/2020 0:00,40425.0
03/14/2020 0:00,49749.0
03/21/2020 0:00,54907.0
03/28/2020 0:00,36251.0
04/04/2020 0:00,23622.0
04/11/2020 0:00,15574.0
04/18/2020 0:00,11782.0
04/25/2020 0:00,10354.0
05/02/2020 0:00,8691.0
05/09/2020 0:00,7448.0
05/16/2020 0:00,7080.0
05/23/2020 0:00,6622.0
05/30/2020 0:00,5744.0
06/06/2020 0:00,5752.0
06/13/2020 0:00,5676.0
06/20/2020 0:00,5642.0
06/27/2020 0:00,5577.0
07/04/2020 0:00,6661.0
07/11/2020 0:00,7581.0
07/18/2020 0:00,7986.0
07/25/2020 0:00,7773.0
08/01/2020 0:00,7334.0
08/08/2020 0:00,6115.0
08/15/2020 0:00,6829.0
08/22/2020 0:00,6805.0
08/29/2020 0:00,6804.0
09/05/2020 0:00,7056.0
09/12/2020 0:00,7548.0
09/19/2020 0:00,8363.0
09/26/2020 0:00,9338.0
10/03/2020 0:00,10512.0
10/10/2020 0:00,12263.0
