date,Total
7/6/2019 0:00,440
7/13/2019 0:00,485
7/20/2019 0:00,418
7/27/2019 0:00,426
8/3/2019 0:00,414
8/10/2019 0:00,448
8/17/2019 0:00,414
8/24/2019 0:00,429
8/31/2019 0:00,487
9/7/2019 0:00,578
9/14/2019 0:00,694
9/21/2019 0:00,782
9/28/2019 0:00,810
10/5/2019 0:00,899
10/12/2019 0:00,943
10/19/2019 0:00,1017
10/26/2019 0:00,1181
11/2/2019 0:00,1174
11/9/2019 0:00,1265
11/16/2019 0:00,1516
11/23/2019 0:00,1544
11/30/2019 0:00,1478
12/7/2019 0:00,1629
12/14/2019 0:00,1783
12/21/2019 0:00,1872
12/28/2019 0:00,2141
1/4/2020 0:00,2198
1/11/2020 0:00,2184
1/18/2020 0:00,2231
1/25/2020 0:00,2369
2/1/2020 0:00,2600
2/8/2020 0:00,2428
2/15/2020 0:00,2410
2/22/2020 0:00,2140
2/29/2020 0:00,2260
3/7/2020 0:00,2272
3/14/2020 0:00,3520
3/21/2020 0:00,4360
3/28/2020 0:00,3250
4/4/2020 0:00,1733
4/11/2020 0:00,832
4/18/2020 0:00,628
4/25/2020 0:00,482
5/2/2020 0:00,364
5/9/2020 0:00,315
5/16/2020 0:00,324
5/23/2020 0:00,405
5/30/2020 0:00,311
6/6/2020 0:00,315
6/13/2020 0:00,345
6/20/2020 0:00,281
6/27/2020 0:00,299
7/4/2020 0:00,340
7/11/2020 0:00,370
7/18/2020 0:00,333
7/25/2020 0:00,394
8/1/2020 0:00,323
8/8/2020 0:00,345
8/15/2020 0:00,380
8/22/2020 0:00,330
8/29/2020 0:00,341
9/5/2020 0:00,393
9/12/2020 0:00,404
9/19/2020 0:00,474
9/26/2020 0:00,520
10/3/2020 0:00,677
10/10/2020 0:00,653
10/17/2020 0:00,636
10/24/2020 0:00,683
10/31/2020 0:00,718
11/7/2020 0:00,783
11/14/2020 0:00,933
11/21/2020 0:00,928
11/28/2020 0:00,973
12/5/2020 0:00,1126
12/12/2020 0:00,1240
12/19/2020 0:00,995
12/26/2020 0:00,977
1/2/2021 0:00,1108
1/9/2021 0:00,1152
1/16/2021 0:00,1043
1/23/2021 0:00,1038
1/30/2021 0:00,980
2/6/2021 0:00,1000
2/13/2021 0:00,801
2/20/2021 0:00,775
2/27/2021 0:00,1009
3/6/2021 0:00,1054
3/13/2021 0:00,882
3/20/2021 0:00,1523
3/27/2021 0:00,1457
4/3/2021 0:00,1984
4/10/2021 0:00,1001
4/17/2021 0:00,1094
4/24/2021 0:00,990
5/1/2021 0:00,984
5/8/2021 0:00,966
5/15/2021 0:00,850
5/22/2021 0:00,921
5/29/2021 0:00,863
6/5/2021 0:00,895
6/12/2021 0:00,898
6/19/2021 0:00,1161
6/26/2021 0:00,1067
7/3/2021 0:00,875
7/10/2021 0:00,889
7/17/2021 0:00,913
7/24/2021 0:00,1108
7/31/2021 0:00,1190
8/7/2021 0:00,1157
8/14/2021 0:00,1251
8/21/2021 0:00,1350
8/28/2021 0:00,1463
9/4/2021 0:00,1460
9/11/2021 0:00,1568
9/18/2021 0:00,1728
9/25/2021 0:00,1701
10/2/2021 0:00,1775
10/9/2021 0:00,1928
10/16/2021 0:00,1886
10/23/2021 0:00,2094
10/30/2021 0:00,1371
11/6/2021 0:00,1843
11/13/2021 0:00,1830
11/20/2021 0:00,2449
11/27/2021 0:00,2449
12/4/2021 0:00,2551
12/11/2021 0:00,3190
12/18/2021 0:00,3817
12/25/2021 0:00,4358
1/1/2022 0:00,4292
1/8/2022 0:00,3305
1/15/2022 0:00,3044
1/22/2022 0:00,2306
1/29/2022 0:00,2072
2/5/2022 0:00,1751
2/12/2022 0:00,1593
2/19/2022 0:00,1555
2/26/2022 0:00,1690
3/5/2022 0:00,1652
3/12/2022 0:00,1922
3/19/2022 0:00,1811
3/26/2022 0:00,1942
4/2/2022 0:00,1935
4/9/2022 0:00,2132
4/16/2022 0:00,2272
4/23/2022 0:00,2176
4/30/2022 0:00,2159
5/7/2022 0:00,2187
5/14/2022 0:00,2349
5/21/2022 0:00,2403
5/28/2022 0:00,2267
6/4/2022 0:00,2252
6/11/2022 0:00,2213
6/18/2022 0:00,1729
6/25/2022 0:00,1772
7/2/2022 0:00,1365
7/9/2022 0:00,2044
7/16/2022 0:00,1945
7/23/2022 0:00,1858
7/30/2022 0:00,1770
8/6/2022 0:00,1758
8/13/2022 0:00,1719
8/20/2022 0:00,1620
8/27/2022 0:00,1704
9/3/2022 0:00,1735
9/10/2022 0:00,2201
9/17/2022 0:00,2094
9/24/2022 0:00,2317
10/1/2022 0:00,2468
10/8/2022 0:00,2806
10/15/2022 0:00,3246
10/22/2022 0:00,3618
10/29/2022 0:00,4310
11/5/2022 0:00,5253
11/12/2022 0:00,5481
11/19/2022 0:00,5273
11/26/2022 0:00,5601
12/3/2022 0:00,6515
12/10/2022 0:00,5995
12/17/2022 0:00,4571
12/24/2022 0:00,4742
12/31/2022 0:00,4675
1/7/2023 0:00,4650
1/14/2023 0:00,3875
1/21/2023 0:00,3751
1/28/2023 0:00,3743
2/4/2023 0:00,3279
2/11/2023 0:00,3198
2/18/2023 0:00,3169
2/25/2023 0:00,2803
3/4/2023 0:00,2782
3/11/2023 0:00,3232
3/18/2023 0:00,2875
3/25/2023 0:00,2497
4/1/2023 0:00,2375
4/8/2023 0:00,2167
4/15/2023 0:00,2009
4/22/2023 0:00,1562
4/29/2023 0:00,1515
5/6/2023 0:00,1529
5/13/2023 0:00,1963
5/20/2023 0:00,1869
5/27/2023 0:00,1665
6/3/2023 0:00,1554
6/10/2023 0:00,1514
6/17/2023 0:00,1155
6/24/2023 0:00,1041
7/1/2023 0:00,961
7/8/2023 0:00,1193
7/15/2023 0:00,1267
7/22/2023 0:00,1299
7/29/2023 0:00,1198
