date,ILITOTAL,NUMOFPROVIDERS,TOTALPATIENTS
10/4/2010 0:00,249,35,11664
10/11/2010 0:00,239,31,11602
10/18/2010 0:00,232,33,11945
10/25/2010 0:00,274,36,12036
11/1/2010 0:00,342,35,12069
11/8/2010 0:00,419,34,12102
11/15/2010 0:00,434,33,12286
11/22/2010 0:00,360,33,8418
11/29/2010 0:00,467,35,10517
12/6/2010 0:00,656,37,11289
12/13/2010 0:00,1245,36,11930
12/20/2010 0:00,1297,36,9910
12/27/2010 0:00,1274,38,10927
1/3/2011 0:00,1191,37,12231
1/10/2011 0:00,1195,38,10005
1/17/2011 0:00,1624,38,12391
1/24/2011 0:00,1938,39,13150
1/31/2011 0:00,1504,36,11938
2/7/2011 0:00,1586,38,13782
2/14/2011 0:00,1450,35,12114
2/21/2011 0:00,1200,33,12407
2/28/2011 0:00,737,32,10835
3/7/2011 0:00,593,30,10179
3/14/2011 0:00,390,29,9639
3/21/2011 0:00,334,29,9714
3/28/2011 0:00,291,28,9169
4/4/2011 0:00,252,27,9175
4/11/2011 0:00,189,24,7063
4/18/2011 0:00,194,24,7007
4/25/2011 0:00,207,23,6305
5/2/2011 0:00,198,21,6590
5/9/2011 0:00,180,22,6802
5/16/2011 0:00,161,21,6533
5/23/2011 0:00,167,21,6121
5/30/2011 0:00,134,19,5265
6/6/2011 0:00,144,19,6027
6/13/2011 0:00,149,19,5916
6/20/2011 0:00,96,18,5352
6/27/2011 0:00,112,17,4745
7/4/2011 0:00,88,17,4777
7/11/2011 0:00,109,17,5790
7/18/2011 0:00,74,16,5434
7/25/2011 0:00,77,17,5868
8/1/2011 0:00,14,14,4115
8/8/2011 0:00,111,18,6194
8/15/2011 0:00,130,18,6006
8/22/2011 0:00,142,17,6164
8/29/2011 0:00,145,16,6185
9/5/2011 0:00,181,17,5249
9/12/2011 0:00,224,18,6293
9/19/2011 0:00,234,21,6908
9/26/2011 0:00,229,19,6610
10/3/2011 0:00,267,28,10702
10/10/2011 0:00,317,29,11209
10/17/2011 0:00,315,26,9196
10/24/2011 0:00,387,28,10094
10/31/2011 0:00,362,27,9541
11/7/2011 0:00,396,28,9445
11/14/2011 0:00,286,26,8711
11/21/2011 0:00,337,27,7912
11/28/2011 0:00,318,28,9571
12/5/2011 0:00,387,25,8501
12/12/2011 0:00,425,28,8755
12/19/2011 0:00,394,26,7255
12/26/2011 0:00,416,26,7170
1/2/2012 0:00,389,28,8437
1/9/2012 0:00,449,26,9157
1/16/2012 0:00,545,27,9411
1/23/2012 0:00,606,27,9677
1/30/2012 0:00,650,27,9862
2/6/2012 0:00,697,28,10838
2/13/2012 0:00,726,28,10755
2/20/2012 0:00,654,27,10768
2/27/2012 0:00,577,27,9239
3/5/2012 0:00,574,26,9175
3/12/2012 0:00,552,25,9281
3/19/2012 0:00,366,24,7976
3/26/2012 0:00,334,25,7530
4/2/2012 0:00,316,25,8117
4/9/2012 0:00,297,25,7913
4/16/2012 0:00,351,24,8082
4/23/2012 0:00,350,22,7876
4/30/2012 0:00,341,20,7186
5/7/2012 0:00,331,21,7751
5/14/2012 0:00,357,20,6845
5/21/2012 0:00,250,19,6511
5/28/2012 0:00,257,19,6136
6/4/2012 0:00,244,17,5345
6/11/2012 0:00,207,18,5680
6/18/2012 0:00,44,17,4159
6/25/2012 0:00,199,17,5510
7/2/2012 0:00,177,17,4892
7/9/2012 0:00,186,17,5427
7/16/2012 0:00,160,16,5289
7/23/2012 0:00,166,16,5190
7/30/2012 0:00,174,16,5227
8/6/2012 0:00,153,16,5677
8/13/2012 0:00,197,15,5829
8/20/2012 0:00,216,15,5281
8/27/2012 0:00,286,15,5884
9/3/2012 0:00,274,16,5611
9/10/2012 0:00,277,15,5292
9/17/2012 0:00,268,16,6006
9/24/2012 0:00,312,18,6304
10/1/2012 0:00,238,39,15930
10/8/2012 0:00,288,34,14485
10/15/2012 0:00,265,35,15510
10/22/2012 0:00,261,36,16688
10/29/2012 0:00,275,35,16058
11/5/2012 0:00,335,34,15832
11/12/2012 0:00,482,35,16052
11/19/2012 0:00,647,33,12345
11/26/2012 0:00,916,35,17296
12/3/2012 0:00,1480,33,16887
12/10/2012 0:00,1595,32,16322
12/17/2012 0:00,1508,29,14596
12/24/2012 0:00,1263,29,10423
12/31/2012 0:00,867,29,11317
1/7/2013 0:00,1074,29,14482
1/14/2013 0:00,799,29,13523
1/21/2013 0:00,593,26,12449
1/28/2013 0:00,597,28,13363
2/4/2013 0:00,511,26,13234
2/11/2013 0:00,531,28,12862
2/18/2013 0:00,393,27,12849
2/25/2013 0:00,408,25,12013
3/4/2013 0:00,398,25,12458
3/11/2013 0:00,397,23,11909
3/18/2013 0:00,427,25,10964
3/25/2013 0:00,229,24,10982
4/1/2013 0:00,225,24,11791
4/8/2013 0:00,129,21,10822
4/15/2013 0:00,110,20,9938
4/22/2013 0:00,67,19,10139
4/29/2013 0:00,72,20,9737
5/6/2013 0:00,65,20,9593
5/13/2013 0:00,43,18,7200
5/20/2013 0:00,67,19,8337
5/27/2013 0:00,41,19,7843
6/3/2013 0:00,31,18,8106
6/10/2013 0:00,34,17,7956
6/17/2013 0:00,44,17,7353
6/24/2013 0:00,30,18,7557
7/1/2013 0:00,14,17,6115
7/8/2013 0:00,19,18,7702
7/15/2013 0:00,23,18,8043
7/22/2013 0:00,25,16,6233
7/29/2013 0:00,32,16,7687
8/5/2013 0:00,26,18,8173
8/12/2013 0:00,24,15,7805
8/19/2013 0:00,33,16,7850
8/26/2013 0:00,37,16,8225
9/2/2013 0:00,64,17,8055
