date,ILITOTAL,NUMOFPROVIDERS,TOTALPATIENTS
10/4/2010 0:00,39,40,8819
10/11/2010 0:00,49,40,8485
10/18/2010 0:00,43,41,8963
10/25/2010 0:00,53,43,9850
11/1/2010 0:00,49,43,10181
11/8/2010 0:00,74,43,10207
11/15/2010 0:00,63,44,10574
11/22/2010 0:00,61,43,6850
11/29/2010 0:00,66,42,9174
12/6/2010 0:00,86,43,10381
12/13/2010 0:00,84,41,9738
12/20/2010 0:00,75,42,7741
12/27/2010 0:00,81,38,5936
1/3/2011 0:00,101,43,9547
1/10/2011 0:00,79,41,7439
1/17/2011 0:00,148,43,9233
1/24/2011 0:00,291,42,10226
1/31/2011 0:00,286,42,8630
2/7/2011 0:00,341,42,10672
2/14/2011 0:00,397,42,10665
2/21/2011 0:00,403,42,11867
2/28/2011 0:00,350,42,11338
3/7/2011 0:00,255,42,10183
3/14/2011 0:00,147,38,8309
3/21/2011 0:00,96,36,6159
3/28/2011 0:00,83,36,7325
4/4/2011 0:00,70,38,7846
4/11/2011 0:00,51,36,8277
4/18/2011 0:00,46,38,8183
4/25/2011 0:00,48,34,6976
5/2/2011 0:00,32,33,6710
5/9/2011 0:00,31,33,7306
5/16/2011 0:00,39,32,6110
5/23/2011 0:00,25,21,3748
5/30/2011 0:00,19,22,3674
6/6/2011 0:00,18,20,3867
6/13/2011 0:00,6,19,3924
6/20/2011 0:00,14,18,3605
6/27/2011 0:00,4,19,3729
7/4/2011 0:00,4,20,3666
7/11/2011 0:00,4,19,4016
7/18/2011 0:00,14,19,3473
7/25/2011 0:00,14,20,4068
8/1/2011 0:00,6,16,3116
8/8/2011 0:00,8,19,3829
8/15/2011 0:00,2,20,4373
8/22/2011 0:00,12,20,4548
8/29/2011 0:00,17,19,4056
9/5/2011 0:00,35,18,4027
9/12/2011 0:00,45,20,4585
9/19/2011 0:00,26,19,4400
9/26/2011 0:00,41,20,4647
10/3/2011 0:00,81,40,8919
10/10/2011 0:00,82,42,10054
10/17/2011 0:00,80,43,10485
10/24/2011 0:00,93,43,10424
10/31/2011 0:00,72,44,9450
11/7/2011 0:00,78,44,9797
11/14/2011 0:00,65,43,10703
11/21/2011 0:00,70,44,7350
11/28/2011 0:00,66,45,10165
12/5/2011 0:00,71,45,9546
12/12/2011 0:00,80,41,8189
12/19/2011 0:00,70,45,7645
12/26/2011 0:00,77,41,6245
1/2/2012 0:00,59,41,7710
1/9/2012 0:00,91,43,9505
1/16/2012 0:00,109,42,8582
1/23/2012 0:00,112,44,10454
1/30/2012 0:00,155,44,10182
2/6/2012 0:00,218,42,10012
2/13/2012 0:00,265,43,9961
2/20/2012 0:00,289,41,9240
2/27/2012 0:00,323,41,9766
3/5/2012 0:00,338,43,9843
3/12/2012 0:00,262,44,9923
3/19/2012 0:00,133,42,7489
3/26/2012 0:00,93,41,8879
4/2/2012 0:00,78,41,8407
4/9/2012 0:00,40,42,8823
4/16/2012 0:00,39,40,8412
4/23/2012 0:00,35,38,8978
4/30/2012 0:00,30,34,8442
5/7/2012 0:00,22,32,7857
5/14/2012 0:00,18,31,7055
5/21/2012 0:00,10,18,3738
5/28/2012 0:00,5,16,2797
6/4/2012 0:00,3,12,2591
6/11/2012 0:00,3,13,2670
6/18/2012 0:00,1,11,2485
6/25/2012 0:00,1,12,2535
7/2/2012 0:00,4,12,2332
7/9/2012 0:00,3,12,2793
7/16/2012 0:00,0,12,2568
7/23/2012 0:00,4,11,2507
7/30/2012 0:00,3,12,2693
8/6/2012 0:00,2,12,2676
8/13/2012 0:00,2,12,2928
8/20/2012 0:00,6,11,3119
8/27/2012 0:00,3,12,3322
9/3/2012 0:00,6,12,3306
9/10/2012 0:00,8,12,3631
9/17/2012 0:00,7,12,3516
9/24/2012 0:00,2,12,3488
10/1/2012 0:00,50,35,7870
10/8/2012 0:00,62,37,8239
10/15/2012 0:00,92,36,8401
10/22/2012 0:00,64,36,8066
10/29/2012 0:00,135,37,8383
11/5/2012 0:00,98,38,8784
11/12/2012 0:00,75,37,8265
11/19/2012 0:00,64,37,6199
11/26/2012 0:00,99,36,8101
12/3/2012 0:00,194,37,8251
12/10/2012 0:00,205,37,7894
12/17/2012 0:00,259,39,7523
12/24/2012 0:00,347,39,5831
12/31/2012 0:00,415,38,6802
1/7/2013 0:00,396,37,8317
1/14/2013 0:00,513,36,8498
1/21/2013 0:00,473,37,8659
1/28/2013 0:00,512,37,8372
2/4/2013 0:00,458,36,8503
2/11/2013 0:00,306,36,8071
2/18/2013 0:00,221,34,6350
2/25/2013 0:00,143,36,6976
3/4/2013 0:00,133,34,7561
3/11/2013 0:00,76,33,7243
3/18/2013 0:00,54,33,5755
3/25/2013 0:00,40,32,6517
4/1/2013 0:00,30,31,6637
4/8/2013 0:00,35,30,6344
4/15/2013 0:00,10,30,6354
4/22/2013 0:00,13,29,6195
4/29/2013 0:00,18,28,6026
5/6/2013 0:00,15,29,6094
5/13/2013 0:00,13,26,6209
5/20/2013 0:00,8,21,4011
5/27/2013 0:00,13,21,3901
6/3/2013 0:00,9,21,4132
6/10/2013 0:00,7,20,4032
6/17/2013 0:00,7,18,3662
6/24/2013 0:00,6,19,3908
7/1/2013 0:00,5,15,2729
7/8/2013 0:00,3,15,3474
7/15/2013 0:00,5,15,3160
7/22/2013 0:00,2,15,3369
7/29/2013 0:00,2,13,2647
8/5/2013 0:00,4,13,2777
8/12/2013 0:00,5,13,2898
8/19/2013 0:00,4,14,3270
8/26/2013 0:00,9,13,3042
9/2/2013 0:00,11,13,3287
9/9/2013 0:00,6,14,3752
9/16/2013 0:00,10,13,3711
9/23/2013 0:00,10,14,3515
9/30/2013 0:00,24,32,7194
10/7/2013 0:00,42,32,6995
10/14/2013 0:00,42,36,7335
10/21/2013 0:00,72,34,7766
10/28/2013 0:00,71,33,7169
11/4/2013 0:00,88,34,7826
11/11/2013 0:00,54,33,7336
11/18/2013 0:00,98,35,7580
11/25/2013 0:00,63,34,5264
12/2/2013 0:00,91,34,6800
12/9/2013 0:00,113,33,6647
12/16/2013 0:00,171,31,6176
12/23/2013 0:00,276,34,4620
12/30/2013 0:00,299,32,5596
1/6/2014 0:00,299,33,6549
1/13/2014 0:00,384,33,6731
1/20/2014 0:00,350,33,6627
1/27/2014 0:00,314,30,6729
2/3/2014 0:00,176,32,5887
2/10/2014 0:00,158,33,6980
2/17/2014 0:00,153,32,6983
2/24/2014 0:00,142,28,6766
3/3/2014 0:00,102,30,7051
3/10/2014 0:00,127,28,6810
3/17/2014 0:00,66,30,5435
3/24/2014 0:00,46,30,6997
3/31/2014 0:00,56,29,6490
4/7/2014 0:00,38,28,6821
4/14/2014 0:00,33,27,5552
4/21/2014 0:00,38,25,6026
4/28/2014 0:00,33,26,5881
5/5/2014 0:00,29,24,5651
5/12/2014 0:00,25,21,4276
5/19/2014 0:00,8,21,3948
5/26/2014 0:00,13,19,3521
6/2/2014 0:00,4,17,3571
6/9/2014 0:00,7,17,3402
6/16/2014 0:00,9,16,3431
6/23/2014 0:00,1,13,2240
6/30/2014 0:00,2,13,2527
7/7/2014 0:00,5,13,2982
7/14/2014 0:00,7,14,2759
7/21/2014 0:00,5,13,2869
7/28/2014 0:00,10,13,2303
8/4/2014 0:00,12,13,2615
8/11/2014 0:00,7,13,2802
8/18/2014 0:00,3,11,2794
8/25/2014 0:00,12,11,3194
9/1/2014 0:00,14,9,2540
9/8/2014 0:00,21,10,2255
9/15/2014 0:00,20,9,2543
9/22/2014 0:00,31,11,3501
9/29/2014 0:00,35,29,7022
10/6/2014 0:00,42,30,6994
10/13/2014 0:00,55,30,6285
10/20/2014 0:00,67,32,7259
10/27/2014 0:00,47,29,6016
11/3/2014 0:00,71,31,6974
11/10/2014 0:00,82,31,6903
11/17/2014 0:00,130,31,7130
11/24/2014 0:00,107,31,4820
12/1/2014 0:00,152,30,6833
12/8/2014 0:00,351,33,7456
12/15/2014 0:00,529,29,6529
12/22/2014 0:00,413,32,4787
12/29/2014 0:00,466,32,5304
1/5/2015 0:00,397,31,6271
1/12/2015 0:00,410,30,6816
1/19/2015 0:00,485,31,7208
1/26/2015 0:00,555,33,7819
2/2/2015 0:00,449,33,7455
2/9/2015 0:00,345,32,7570
2/16/2015 0:00,291,30,6983
2/23/2015 0:00,285,31,7321
3/2/2015 0:00,312,31,7254
3/9/2015 0:00,300,31,7273
3/16/2015 0:00,177,33,6239
3/23/2015 0:00,162,29,6832
3/30/2015 0:00,136,31,6617
4/6/2015 0:00,119,30,6769
4/13/2015 0:00,92,29,6684
4/20/2015 0:00,79,28,5601
4/27/2015 0:00,86,25,5499
5/4/2015 0:00,47,25,5269
5/11/2015 0:00,28,19,3380
5/18/2015 0:00,20,22,4587
5/25/2015 0:00,16,18,3603
6/1/2015 0:00,11,15,3060
6/8/2015 0:00,15,14,3463
6/15/2015 0:00,13,14,3318
6/22/2015 0:00,19,14,3036
6/29/2015 0:00,8,14,2999
7/6/2015 0:00,8,14,3363
7/13/2015 0:00,4,14,3294
7/20/2015 0:00,6,14,3370
7/27/2015 0:00,11,14,3446
8/3/2015 0:00,6,14,3509
8/10/2015 0:00,4,14,3811
8/17/2015 0:00,12,14,3855
8/24/2015 0:00,13,14,4141
8/31/2015 0:00,12,14,4408
9/7/2015 0:00,9,14,4067
9/14/2015 0:00,27,14,4345
9/21/2015 0:00,35,13,3896
9/28/2015 0:00,49,13,3986
10/5/2015 0:00,90,35,8024
10/12/2015 0:00,78,35,7602
10/19/2015 0:00,85,34,8088
10/26/2015 0:00,91,35,7537
11/2/2015 0:00,119,33,7421
11/9/2015 0:00,111,35,7694
11/16/2015 0:00,111,35,7885
11/23/2015 0:00,90,35,5690
11/30/2015 0:00,104,34,7374
12/7/2015 0:00,91,34,7108
12/14/2015 0:00,91,34,6746
12/21/2015 0:00,67,34,4972
12/28/2015 0:00,71,33,4541
1/4/2016 0:00,99,30,6216
1/11/2016 0:00,83,33,6912
1/18/2016 0:00,81,32,6709
1/25/2016 0:00,105,33,7233
2/1/2016 0:00,122,33,7273
2/8/2016 0:00,122,33,7411
2/15/2016 0:00,182,32,7760
2/22/2016 0:00,185,30,7694
2/29/2016 0:00,204,30,6933
3/7/2016 0:00,242,32,7407
3/14/2016 0:00,151,32,5858
3/21/2016 0:00,149,31,6909
3/28/2016 0:00,128,29,6195
4/4/2016 0:00,151,30,6865
4/11/2016 0:00,142,31,7037
4/18/2016 0:00,91,29,6792
4/25/2016 0:00,59,27,6268
5/2/2016 0:00,65,28,6413
5/9/2016 0:00,48,28,6284
5/16/2016 0:00,33,25,5117
5/23/2016 0:00,23,16,4105
5/30/2016 0:00,9,14,3010
6/6/2016 0:00,11,13,2974
6/13/2016 0:00,3,13,3283
6/20/2016 0:00,8,13,3299
6/27/2016 0:00,6,12,3107
7/4/2016 0:00,6,13,3019
7/11/2016 0:00,4,13,3410
7/18/2016 0:00,3,12,3302
7/25/2016 0:00,2,12,3495
8/1/2016 0:00,8,11,3157
8/8/2016 0:00,4,11,3471
8/15/2016 0:00,3,8,3129
8/22/2016 0:00,8,11,3901
8/29/2016 0:00,12,11,4056
9/5/2016 0:00,10,11,3669
9/12/2016 0:00,9,11,4069
9/19/2016 0:00,9,11,4360
9/26/2016 0:00,16,11,3777
10/3/2016 0:00,61,31,7254
10/10/2016 0:00,55,32,6941
10/17/2016 0:00,96,33,7538
10/24/2016 0:00,55,34,7533
10/31/2016 0:00,56,32,7126
11/7/2016 0:00,71,32,7261
11/14/2016 0:00,70,29,6799
11/21/2016 0:00,98,31,5016
11/28/2016 0:00,125,32,7789
12/5/2016 0:00,102,30,6645
12/12/2016 0:00,100,30,6571
12/19/2016 0:00,135,29,5676
12/26/2016 0:00,120,28,5271
1/2/2017 0:00,163,28,5673
1/9/2017 0:00,214,28,6353
1/16/2017 0:00,345,28,6760
1/23/2017 0:00,415,28,7406
1/30/2017 0:00,635,28,7449
2/6/2017 0:00,796,28,7684
2/13/2017 0:00,590,27,6779
2/20/2017 0:00,491,27,7123
2/27/2017 0:00,367,28,7139
3/6/2017 0:00,305,28,6951
3/13/2017 0:00,287,28,6712
3/20/2017 0:00,224,28,5544
3/27/2017 0:00,170,28,6427
4/3/2017 0:00,149,28,6600
4/10/2017 0:00,93,28,6662
4/17/2017 0:00,80,26,6414
4/24/2017 0:00,71,26,6489
5/1/2017 0:00,51,24,5464
5/8/2017 0:00,37,23,5035
5/15/2017 0:00,12,21,3891
5/22/2017 0:00,15,22,4473
5/29/2017 0:00,10,15,2376
6/5/2017 0:00,8,12,2527
6/12/2017 0:00,6,12,2383
6/19/2017 0:00,6,12,2467
6/26/2017 0:00,8,11,2311
7/3/2017 0:00,8,10,2029
7/10/2017 0:00,1,11,2421
7/17/2017 0:00,4,11,2475
7/24/2017 0:00,17,11,2460
7/31/2017 0:00,3,10,2154
8/7/2017 0:00,5,10,2314
8/14/2017 0:00,7,11,3015
8/21/2017 0:00,9,11,3069
8/28/2017 0:00,0,9,2886
9/4/2017 0:00,5,9,2607
9/11/2017 0:00,1,8,2728
9/18/2017 0:00,20,8,2907
9/25/2017 0:00,14,7,2613
10/2/2017 0:00,66,30,7331
10/9/2017 0:00,75,31,7168
10/16/2017 0:00,65,31,6855
10/23/2017 0:00,82,30,6874
10/30/2017 0:00,84,30,6648
11/6/2017 0:00,125,31,7467
11/13/2017 0:00,148,31,7395
11/20/2017 0:00,128,31,5519
11/27/2017 0:00,128,30,7498
12/4/2017 0:00,175,32,6908
12/11/2017 0:00,268,32,6971
12/18/2017 0:00,395,30,6253
12/25/2017 0:00,379,30,4518
1/1/2018 0:00,499,30,5770
1/8/2018 0:00,608,29,6575
1/15/2018 0:00,716,28,6650
1/22/2018 0:00,852,29,7944
1/29/2018 0:00,924,28,8153
2/5/2018 0:00,923,28,7919
2/12/2018 0:00,903,27,7754
2/19/2018 0:00,628,26,6755
2/26/2018 0:00,477,27,7248
3/5/2018 0:00,375,27,7174
3/12/2018 0:00,243,27,6729
3/19/2018 0:00,178,25,5228
3/26/2018 0:00,174,25,6581
4/2/2018 0:00,131,24,5915
4/9/2018 0:00,112,24,5941
4/16/2018 0:00,72,23,5165
4/23/2018 0:00,59,22,5056
4/30/2018 0:00,39,22,5044
5/7/2018 0:00,35,20,4507
5/14/2018 0:00,44,19,3886
5/21/2018 0:00,30,14,2187
5/28/2018 0:00,21,15,2454
