date,ILITOTAL,NUMOFPROVIDERS,TOTALPATIENTS
10/4/2010 0:00,168,56,27786
10/11/2010 0:00,216,54,24328
10/18/2010 0:00,209,53,28061
10/25/2010 0:00,228,52,29092
11/1/2010 0:00,225,53,27695
11/8/2010 0:00,187,54,25514
11/15/2010 0:00,236,51,29372
11/22/2010 0:00,198,50,20666
11/29/2010 0:00,260,54,28787
12/6/2010 0:00,272,54,28114
12/13/2010 0:00,316,55,28213
12/20/2010 0:00,268,49,20513
12/27/2010 0:00,258,50,17670
1/3/2011 0:00,328,51,27817
1/10/2011 0:00,407,51,24059
1/17/2011 0:00,370,54,24253
1/24/2011 0:00,512,53,27470
1/31/2011 0:00,577,54,24333
2/7/2011 0:00,697,52,29896
2/14/2011 0:00,726,52,27374
2/21/2011 0:00,618,54,25160
2/28/2011 0:00,532,53,27450
3/7/2011 0:00,585,51,28628
3/14/2011 0:00,481,50,27027
3/21/2011 0:00,424,50,28065
3/28/2011 0:00,459,51,29953
4/4/2011 0:00,399,47,28679
4/11/2011 0:00,364,48,28403
4/18/2011 0:00,291,47,23236
4/25/2011 0:00,247,44,24920
5/2/2011 0:00,244,45,26732
5/9/2011 0:00,200,42,26661
5/16/2011 0:00,214,40,26344
5/23/2011 0:00,248,38,25970
5/30/2011 0:00,202,36,22080
6/6/2011 0:00,254,31,29007
6/13/2011 0:00,218,30,23183
6/20/2011 0:00,177,28,21734
6/27/2011 0:00,155,28,20816
7/4/2011 0:00,138,27,17883
7/11/2011 0:00,167,28,22224
7/18/2011 0:00,163,27,21951
7/25/2011 0:00,154,27,21731
8/1/2011 0:00,153,27,23486
8/8/2011 0:00,164,27,24138
8/15/2011 0:00,142,27,23384
8/22/2011 0:00,143,27,23760
8/29/2011 0:00,134,31,21591
9/5/2011 0:00,121,31,20925
9/12/2011 0:00,163,31,25579
9/19/2011 0:00,169,30,25322
9/26/2011 0:00,216,32,25786
10/3/2011 0:00,190,53,28770
10/10/2011 0:00,297,51,25732
10/17/2011 0:00,275,53,29471
10/24/2011 0:00,301,53,29495
10/31/2011 0:00,315,53,30104
11/7/2011 0:00,306,53,30419
11/14/2011 0:00,261,51,30308
11/21/2011 0:00,241,53,22100
11/28/2011 0:00,261,50,30240
12/5/2011 0:00,245,52,29347
12/12/2011 0:00,296,54,28783
12/19/2011 0:00,319,49,24847
12/26/2011 0:00,279,50,19527
1/2/2012 0:00,295,51,24258
1/9/2012 0:00,333,50,27780
1/16/2012 0:00,314,50,24904
1/23/2012 0:00,353,52,29733
1/30/2012 0:00,338,52,29413
2/6/2012 0:00,312,47,27954
2/13/2012 0:00,320,48,28239
2/20/2012 0:00,305,48,22906
2/27/2012 0:00,298,47,27611
3/5/2012 0:00,261,47,27500
3/12/2012 0:00,292,44,25521
3/19/2012 0:00,320,47,26075
3/26/2012 0:00,197,45,27092
4/2/2012 0:00,289,45,26680
4/9/2012 0:00,279,44,26824
4/16/2012 0:00,260,43,23297
4/23/2012 0:00,235,43,27362
4/30/2012 0:00,178,42,26290
5/7/2012 0:00,215,40,25416
5/14/2012 0:00,196,38,25737
5/21/2012 0:00,200,35,25386
5/28/2012 0:00,156,33,20582
6/4/2012 0:00,161,33,24179
6/11/2012 0:00,171,33,24276
6/18/2012 0:00,173,33,24201
6/25/2012 0:00,168,32,23671
7/2/2012 0:00,145,31,17890
7/9/2012 0:00,185,32,23333
7/16/2012 0:00,166,32,22738
7/23/2012 0:00,134,30,22121
