date,WEIGHTEDILI,UNWEIGHTEDILI,AGE0_4,AGE5_24,ILITOTAL,NUMOFPROVIDERS,OT
10/4/2010 0:00,1.10939,1.13505,2627,3142,8473,1838,746485
10/11/2010 0:00,1.24341,1.25256,2953,3522,9347,1875,746230
10/18/2010 0:00,1.25726,1.2457,3044,3641,9684,1907,777397
10/25/2010 0:00,1.25734,1.26774,3226,3822,9904,1929,781234
11/1/2010 0:00,1.43414,1.43723,3451,4397,11020,1947,766753
11/8/2010 0:00,1.51838,1.53341,3927,4679,11807,1940,769982
11/15/2010 0:00,1.61617,1.69445,4416,5322,13336,1921,787038
11/22/2010 0:00,1.84378,1.9915,4598,4145,12079,1938,606527
11/29/2010 0:00,1.72535,1.81305,5045,4978,13997,1964,772016
12/6/2010 0:00,1.87923,2.01426,5060,5867,14958,1936,742606
12/13/2010 0:00,2.3371,2.55659,6300,7194,18022,1916,704923
12/20/2010 0:00,3.03533,3.38185,7295,7071,19899,1840,588406
12/27/2010 0:00,3.136,3.43172,7478,5764,20346,1887,592880
1/3/2011 0:00,2.53336,2.69151,6584,6342,20026,1923,744043
1/10/2011 0:00,2.91288,2.91063,6238,7773,20721,1921,711908
1/17/2011 0:00,3.44497,3.49232,7247,11243,26257,1964,751850
1/24/2011 0:00,4.16185,4.0037,8007,15291,31975,1947,798637
1/31/2011 0:00,4.55159,4.43534,8195,16366,34284,1970,772974
2/7/2011 0:00,4.46504,4.24215,8036,16516,34456,1961,812230
2/14/2011 0:00,4.55124,4.39719,8172,17493,36567,1910,831600
2/21/2011 0:00,4.0822,3.90256,7839,13718,31277,1908,801449
2/28/2011 0:00,3.38812,3.15073,6376,10496,24627,1860,781629
3/7/2011 0:00,2.99142,2.72422,5691,8427,20377,1829,747993
3/14/2011 0:00,2.61542,2.33336,5363,6702,17309,1823,741807
3/21/2011 0:00,2.09065,1.925,4400,5489,14031,1790,728883
3/28/2011 0:00,1.86146,1.75243,4189,5025,12957,1770,739375
4/4/2011 0:00,1.61377,1.57704,3701,4557,11498,1723,729089
4/11/2011 0:00,1.42199,1.35766,3164,3562,9391,1681,691707
4/18/2011 0:00,1.3382,1.31223,3139,3064,8695,1651,662612
4/25/2011 0:00,1.19995,1.14937,2895,2673,7830,1612,681240
5/2/2011 0:00,1.14889,1.11451,2532,2553,7307,1585,655627
5/9/2011 0:00,1.12194,1.10984,2551,2595,7236,1556,651983
5/16/2011 0:00,1.06712,1.0524,2353,2280,6530,1516,620485
5/23/2011 0:00,1.05058,1.03536,2213,2110,6072,1381,586460
