date,WEIGHTEDILI,UNWEIGHTEDILI,AGE0_4,AGE5_24,ILITOTAL,NUMOFPROVIDERS,OT
7/8/2019 0:00,0.809956,0.795831,2344,2660,8422,2090,1058265
7/15/2019 0:00,0.755431,0.768849,2219,2570,8111,2132,1054954
7/22/2019 0:00,0.73346,0.748185,2128,2451,7755,2117,1036508
7/29/2019 0:00,0.72729,0.758451,2348,2436,7874,2128,1038168
8/5/2019 0:00,0.754637,0.77011,2089,2384,8038,2146,1043747
8/12/2019 0:00,0.730938,0.834825,2630,2828,8987,2178,1076513
8/19/2019 0:00,0.840615,0.942052,2907,3501,10096,2147,1071703
8/26/2019 0:00,0.989217,1.07895,3394,4220,11817,2169,1095230
9/2/2019 0:00,1.14059,1.20634,3801,4535,13158,2189,1090741
9/9/2019 0:00,1.23272,1.2757,3905,5499,14831,2221,1162580
9/16/2019 0:00,1.24529,1.39156,4463,5673,15977,2198,1148137
9/23/2019 0:00,1.33771,1.49698,4970,6104,17414,2180,1163278
9/30/2019 0:00,1.49064,1.50415,6218,7658,21915,2896,1456967
10/7/2019 0:00,1.59269,1.59823,6550,7638,22953,2924,1436150
10/14/2019 0:00,1.72517,1.73838,7273,8277,24857,2950,1429897
10/21/2019 0:00,1.83428,1.8605,7892,9349,27419,2980,1473740
10/28/2019 0:00,2.04049,2.01425,8658,10068,28910,2989,1435277
11/4/2019 0:00,2.39351,2.36364,10557,12551,34586,3007,1463253
11/11/2019 0:00,2.63245,2.64431,11446,13671,37728,2976,1426760
11/18/2019 0:00,2.91944,2.97548,12714,17049,44148,2971,1483729
11/25/2019 0:00,3.41066,3.44787,14389,14717,43817,2971,1270842
12/2/2019 0:00,3.2622,3.31577,13839,16389,48877,2977,1474075
12/9/2019 0:00,3.94308,3.86928,14728,21877,56444,2947,1458774
12/16/2019 0:00,5.06529,5.02757,17999,29177,71584,2913,1423829
12/23/2019 0:00,7.06161,7.15315,24097,34004,95757,2905,1338669
12/30/2019 0:00,5.91974,6.22926,21564,23383,88681,2957,1423620
1/6/2020 0:00,4.94176,5.06974,15547,22747,75585,2987,1490905
1/13/2020 0:00,5.33174,5.35782,16587,29657,79746,2983,1488404
1/20/2020 0:00,6.08106,6.0261,18558,35216,90072,2984,1494697
1/27/2020 0:00,6.74724,6.87271,20299,44117,108307,2984,1575900
2/3/2020 0:00,6.7998,7.08261,20270,45491,111289,2994,1571300
2/10/2020 0:00,6.11292,6.22068,17393,36909,95418,2958,1533883
2/17/2020 0:00,5.55671,5.62148,15233,28328,79832,2909,1420123
2/24/2020 0:00,5.12279,5.10226,13817,25487,74809,2934,1466192
3/2/2020 0:00,5.26652,5.28928,13888,26396,78779,2901,1489410
3/9/2020 0:00,5.67081,6.29229,14149,27752,89571,2836,1423503
3/16/2020 0:00,6.38029,7.35285,10790,17512,78584,2798,1068755
3/23/2020 0:00,4.91692,6.22687,5129,8322,53142,2727,853431
3/30/2020 0:00,3.78625,4.82995,2359,4852,36251,2684,750546
4/6/2020 0:00,2.80122,3.47366,1496,3426,24974,2686,718953
4/13/2020 0:00,2.12879,2.57382,1068,2666,18265,2666,709645
4/20/2020 0:00,1.73315,2.02032,926,2317,15164,2652,750576
4/27/2020 0:00,1.40932,1.62094,864,2098,12817,2624,790715
5/4/2020 0:00,1.18336,1.35262,729,1889,11066,2611,818113
5/11/2020 0:00,1.11451,1.23819,788,1960,10480,2601,846400
5/18/2020 0:00,1.00534,1.07598,1224,2402,11735,2971,1090638
5/25/2020 0:00,0.88827,0.885843,805,1898,9614,2950,1085294
6/1/2020 0:00,0.814062,0.819928,802,1969,9325,2931,1137295
6/8/2020 0:00,0.836751,0.814575,881,2141,9580,2902,1176074
6/15/2020 0:00,0.928456,0.950979,1006,2679,11866,2935,1247767
6/22/2020 0:00,1.14217,1.20306,1216,3491,15499,2896,1288294
6/29/2020 0:00,1.27401,1.38424,1395,3970,17843,2897,1289006
7/6/2020 0:00,1.34951,1.47311,1545,4094,20046,2918,1360798
7/13/2020 0:00,1.34471,1.43761,1658,4075,19260,2894,1339726
7/20/2020 0:00,1.22153,1.21898,1634,3560,16533,2953,1356301
7/27/2020 0:00,1.15258,1.15067,1609,3497,15524,2992,1349125
8/3/2020 0:00,1.0626,1.05662,1570,3271,14117,2956,1336052
8/10/2020 0:00,0.979884,0.981699,1592,3167,13193,2978,1343895
8/17/2020 0:00,0.969202,0.961833,1804,3283,12952,2930,1346595
8/24/2020 0:00,1.00022,0.970543,1866,3951,13159,2967,1355839
8/31/2020 0:00,0.920817,0.919002,1759,3609,12316,2921,1340149
9/7/2020 0:00,1.0355,0.978032,1999,3822,13035,2915,1332779
9/14/2020 0:00,0.974333,0.955677,2070,3628,13049,2943,1365420
9/21/2020 0:00,1.06462,1.03845,2286,4366,14586,2941,1404590
9/28/2020 0:00,1.09211,1.08024,2454,4715,16466,3246,1524289
10/5/2020 0:00,1.21201,1.19451,2558,5239,19144,3318,1602667
10/12/2020 0:00,1.11151,1.09796,2313,4613,17235,3301,1569727
10/19/2020 0:00,1.18662,1.15393,2454,4834,18133,3330,1571417
10/26/2020 0:00,1.25262,1.18924,2512,4916,18554,3421,1560158
11/2/2020 0:00,1.44427,1.33759,2726,5825,21370,3425,1597645
11/9/2020 0:00,1.48969,1.37845,2776,5544,22598,3391,1639379
11/16/2020 0:00,1.56064,1.43236,2692,5342,22709,3334,1585429
11/23/2020 0:00,1.61944,1.49959,2484,4584,21313,3333,1421255
11/30/2020 0:00,1.57347,1.44967,2597,4861,22251,3339,1534905
12/7/2020 0:00,1.51939,1.42617,2504,4692,22103,3358,1549810
12/14/2020 0:00,1.50599,1.39797,2482,4282,20874,3299,1493163
12/21/2020 0:00,1.55485,1.45725,2323,3564,19836,3301,1361197
12/28/2020 0:00,1.58903,1.53781,2583,3933,22423,3280,1458113
1/4/2021 0:00,1.47519,1.4348,2414,4549,22711,3316,1582870
1/11/2021 0:00,1.28752,1.2606,2297,3975,19018,3278,1508647
1/18/2021 0:00,1.25172,1.21098,2566,4056,18350,3315,1515305
1/25/2021 0:00,1.10177,1.12283,2558,3953,16896,3324,1504764
2/1/2021 0:00,1.16565,1.08237,2636,4015,16098,3295,1487296
2/8/2021 0:00,1.00609,0.975086,2552,3730,14079,3246,1443873
2/15/2021 0:00,0.986101,0.907555,2318,3144,12591,3256,1387354
2/22/2021 0:00,0.864388,0.860857,2543,3541,13344,3276,1550083
3/1/2021 0:00,0.828056,0.842356,2771,3540,13000,3278,1543291
3/8/2021 0:00,0.882103,0.902897,3218,3806,14077,3284,1559093
3/15/2021 0:00,0.908033,0.939382,3514,3856,14574,3227,1551445
3/22/2021 0:00,0.947577,0.96011,3817,3915,15354,3201,1599192
3/29/2021 0:00,0.975225,0.998141,4116,4089,15993,3257,1602279
4/5/2021 0:00,1.06101,1.07796,4731,4685,18100,3277,1679101
4/12/2021 0:00,1.08091,1.1089,5227,4907,19165,3282,1728295
4/19/2021 0:00,1.10326,1.1502,5763,5093,19305,3248,1678407
4/26/2021 0:00,1.13361,1.1834,6326,5503,20099,3256,1698411
5/3/2021 0:00,1.14992,1.20915,6822,5401,19930,3227,1648268
5/10/2021 0:00,1.19092,1.25462,7365,5491,20367,3214,1623366
5/17/2021 0:00,1.24677,1.26333,8352,5414,21262,3193,1683010
5/24/2021 0:00,1.14504,1.19095,7953,4967,19675,3141,1652047
5/31/2021 0:00,1.18454,1.25187,8502,4854,20143,3140,1609033
6/7/2021 0:00,1.12943,1.14521,8096,4645,19182,3110,1674977
6/14/2021 0:00,1.18866,1.18174,8503,4594,19579,3068,1656791
6/21/2021 0:00,1.21202,1.21001,8514,4609,19890,3057,1643793
6/28/2021 0:00,1.21342,1.21283,8369,4757,20092,3055,1656615
