date,ILITOTAL,NUMOFPROVIDERS,TOTALPATIENTS
10/4/2010 0:00,61,13,2773
10/11/2010 0:00,68,12,2486
10/18/2010 0:00,94,14,2839
10/25/2010 0:00,60,14,2916
11/1/2010 0:00,11,14,2920
11/8/2010 0:00,105,16,3546
11/15/2010 0:00,85,16,3508
11/22/2010 0:00,15,15,2440
11/29/2010 0:00,99,15,3516
12/6/2010 0:00,91,16,3696
12/13/2010 0:00,111,15,3429
12/20/2010 0:00,62,15,2792
12/27/2010 0:00,85,14,2220
1/3/2011 0:00,102,16,3393
1/10/2011 0:00,86,15,2906
1/17/2011 0:00,108,16,3461
1/24/2011 0:00,164,16,3662
1/31/2011 0:00,156,14,2484
2/7/2011 0:00,126,15,3423
2/14/2011 0:00,156,16,3520
2/21/2011 0:00,300,16,3640
2/28/2011 0:00,261,16,3837
3/7/2011 0:00,192,16,3260
3/14/2011 0:00,87,15,3005
3/21/2011 0:00,48,15,3070
3/28/2011 0:00,31,14,2670
4/4/2011 0:00,29,15,3243
4/11/2011 0:00,38,14,2640
4/18/2011 0:00,28,14,2656
4/25/2011 0:00,13,14,2530
5/2/2011 0:00,9,12,2135
5/9/2011 0:00,7,13,2471
5/16/2011 0:00,8,12,2025
5/23/2011 0:00,3,11,1621
5/30/2011 0:00,3,13,1636
6/6/2011 0:00,5,10,1514
6/13/2011 0:00,1,10,1142
6/20/2011 0:00,2,9,1190
6/27/2011 0:00,1,11,1523
7/4/2011 0:00,1,10,809
7/11/2011 0:00,1,11,1934
7/18/2011 0:00,2,10,1347
7/25/2011 0:00,4,11,1513
8/1/2011 0:00,1,10,1340
8/8/2011 0:00,2,10,1482
8/15/2011 0:00,5,9,1352
8/22/2011 0:00,3,10,1570
8/29/2011 0:00,4,9,1276
9/5/2011 0:00,11,10,1179
9/12/2011 0:00,34,9,1114
9/19/2011 0:00,14,10,1278
9/26/2011 0:00,10,9,1071
10/3/2011 0:00,19,16,3206
10/10/2011 0:00,11,16,2897
10/17/2011 0:00,9,16,3158
10/24/2011 0:00,79,17,3723
10/31/2011 0:00,81,16,3229
11/7/2011 0:00,84,16,3324
11/14/2011 0:00,9,15,2713
11/21/2011 0:00,15,15,2339
11/28/2011 0:00,86,16,3648
12/5/2011 0:00,22,16,2937
12/12/2011 0:00,107,17,3668
12/19/2011 0:00,82,16,3202
12/26/2011 0:00,124,15,2558
1/2/2012 0:00,81,17,3396
1/9/2012 0:00,104,17,3472
1/16/2012 0:00,121,16,3530
1/23/2012 0:00,102,17,3676
1/30/2012 0:00,124,15,3014
2/6/2012 0:00,123,16,3544
2/13/2012 0:00,120,17,3650
2/20/2012 0:00,120,17,3951
2/27/2012 0:00,140,16,3261
3/5/2012 0:00,112,16,3245
3/12/2012 0:00,83,16,3017
3/19/2012 0:00,68,16,3140
3/26/2012 0:00,67,16,2908
4/2/2012 0:00,60,16,2985
4/9/2012 0:00,59,16,3093
4/16/2012 0:00,56,14,2735
4/23/2012 0:00,50,16,3021
4/30/2012 0:00,55,11,1707
5/7/2012 0:00,61,10,1702
5/14/2012 0:00,52,11,1841
5/21/2012 0:00,44,11,1809
5/28/2012 0:00,14,11,1505
6/4/2012 0:00,2,9,1317
6/11/2012 0:00,6,10,1379
6/18/2012 0:00,3,9,1275
6/25/2012 0:00,2,9,889
7/2/2012 0:00,13,10,1334
7/9/2012 0:00,4,9,1364
7/16/2012 0:00,5,10,1391
7/23/2012 0:00,8,10,1457
7/30/2012 0:00,15,10,1456
8/6/2012 0:00,5,9,942
8/13/2012 0:00,6,9,1111
8/20/2012 0:00,43,10,1907
8/27/2012 0:00,53,10,1665
9/3/2012 0:00,51,9,1395
9/10/2012 0:00,58,9,1315
9/17/2012 0:00,62,9,1275
9/24/2012 0:00,61,9,1401
10/1/2012 0:00,90,14,3211
10/8/2012 0:00,85,14,3185
10/15/2012 0:00,81,14,3207
10/22/2012 0:00,93,12,2923
10/29/2012 0:00,94,15,3086
11/5/2012 0:00,57,15,2958
11/12/2012 0:00,105,15,3389
11/19/2012 0:00,63,16,2958
11/26/2012 0:00,130,16,3985
12/3/2012 0:00,92,16,4050
12/10/2012 0:00,97,14,3428
12/17/2012 0:00,263,15,3859
12/24/2012 0:00,272,15,2681
12/31/2012 0:00,321,17,3710
1/7/2013 0:00,454,17,4494
1/14/2013 0:00,412,17,4376
1/21/2013 0:00,398,16,4113
1/28/2013 0:00,305,16,3477
2/4/2013 0:00,223,16,3554
2/11/2013 0:00,197,16,3371
2/18/2013 0:00,166,15,2961
2/25/2013 0:00,152,15,3259
3/4/2013 0:00,101,15,3293
3/11/2013 0:00,121,15,3119
3/18/2013 0:00,94,15,3057
3/25/2013 0:00,87,13,2604
4/1/2013 0:00,71,13,2668
4/8/2013 0:00,52,13,2492
4/15/2013 0:00,66,12,2202
4/22/2013 0:00,64,13,2623
4/29/2013 0:00,52,12,2196
5/6/2013 0:00,41,11,1856
5/13/2013 0:00,44,11,1891
5/20/2013 0:00,48,11,1930
5/27/2013 0:00,30,10,1064
6/3/2013 0:00,5,10,1395
6/10/2013 0:00,3,9,961
6/17/2013 0:00,8,8,935
6/24/2013 0:00,4,9,911
7/1/2013 0:00,2,8,595
7/8/2013 0:00,3,9,793
7/15/2013 0:00,4,8,816
7/22/2013 0:00,8,7,888
7/29/2013 0:00,4,8,717
8/5/2013 0:00,58,8,1199
8/12/2013 0:00,47,9,1597
8/19/2013 0:00,46,9,1554
8/26/2013 0:00,8,8,1048
9/2/2013 0:00,49,10,1413
9/9/2013 0:00,77,9,1552
9/16/2013 0:00,56,8,1451
9/23/2013 0:00,70,9,1488
9/30/2013 0:00,11,15,2343
10/7/2013 0:00,19,15,2500
10/14/2013 0:00,19,15,2384
10/21/2013 0:00,23,15,2427
10/28/2013 0:00,11,15,2329
11/4/2013 0:00,19,16,2752
11/11/2013 0:00,25,16,2623
11/18/2013 0:00,17,16,2502
11/25/2013 0:00,17,16,1888
12/2/2013 0:00,19,16,2665
12/9/2013 0:00,21,15,2334
12/16/2013 0:00,30,16,2544
12/23/2013 0:00,24,15,1530
12/30/2013 0:00,35,15,1864
1/6/2014 0:00,45,15,2531
1/13/2014 0:00,52,14,2629
1/20/2014 0:00,65,15,2608
1/27/2014 0:00,55,15,2685
2/3/2014 0:00,50,15,2507
2/10/2014 0:00,31,15,2561
2/17/2014 0:00,20,15,2475
2/24/2014 0:00,15,15,2610
3/3/2014 0:00,26,16,2673
3/10/2014 0:00,29,15,2651
3/17/2014 0:00,20,15,2675
3/24/2014 0:00,12,15,2701
3/31/2014 0:00,17,15,2604
4/7/2014 0:00,18,15,2651
4/14/2014 0:00,13,15,2548
4/21/2014 0:00,10,15,2466
4/28/2014 0:00,5,14,2120
5/5/2014 0:00,11,11,1700
5/12/2014 0:00,7,11,1605
5/19/2014 0:00,9,10,1350
5/26/2014 0:00,7,10,1241
6/2/2014 0:00,10,8,740
6/9/2014 0:00,3,9,1225
6/16/2014 0:00,9,9,1159
6/23/2014 0:00,6,8,812
6/30/2014 0:00,8,8,675
7/7/2014 0:00,4,9,995
7/14/2014 0:00,7,9,945
7/21/2014 0:00,7,9,890
7/28/2014 0:00,7,9,929
8/4/2014 0:00,6,8,648
8/11/2014 0:00,8,9,1165
8/18/2014 0:00,13,9,1071
8/25/2014 0:00,12,8,1093
9/1/2014 0:00,9,7,834
9/8/2014 0:00,21,8,1111
9/15/2014 0:00,15,7,1036
9/22/2014 0:00,11,7,1037
9/29/2014 0:00,17,16,2696
10/6/2014 0:00,20,15,2697
10/13/2014 0:00,26,16,3039
10/20/2014 0:00,14,16,2637
10/27/2014 0:00,11,16,2619
11/3/2014 0:00,7,15,2382
11/10/2014 0:00,18,15,2629
11/17/2014 0:00,19,16,2809
11/24/2014 0:00,18,16,2063
12/1/2014 0:00,32,16,2832
12/8/2014 0:00,37,15,2655
12/15/2014 0:00,67,15,2599
12/22/2014 0:00,89,16,1806
12/29/2014 0:00,76,16,2145
1/5/2015 0:00,81,15,2869
1/12/2015 0:00,71,15,2795
1/19/2015 0:00,164,14,2823
1/26/2015 0:00,106,13,2608
2/2/2015 0:00,72,15,2567
2/9/2015 0:00,47,15,2755
2/16/2015 0:00,45,15,2917
2/23/2015 0:00,42,15,2832
3/2/2015 0:00,48,15,2742
3/9/2015 0:00,60,15,2723
3/16/2015 0:00,65,15,2824
3/23/2015 0:00,67,15,2797
3/30/2015 0:00,53,15,2536
4/6/2015 0:00,34,14,2644
4/13/2015 0:00,27,15,2805
4/20/2015 0:00,19,14,2386
4/27/2015 0:00,15,12,2208
5/4/2015 0:00,19,12,2037
5/11/2015 0:00,15,10,1651
5/18/2015 0:00,10,10,1627
5/25/2015 0:00,10,10,1586
6/1/2015 0:00,11,11,1608
6/8/2015 0:00,10,10,1499
6/15/2015 0:00,9,11,1873
6/22/2015 0:00,11,11,1960
6/29/2015 0:00,6,11,1608
7/6/2015 0:00,5,9,1363
7/13/2015 0:00,13,10,1392
7/20/2015 0:00,10,10,1273
7/27/2015 0:00,11,9,1321
8/3/2015 0:00,11,9,1082
8/10/2015 0:00,6,9,1338
8/17/2015 0:00,10,9,1276
8/24/2015 0:00,10,10,1640
8/31/2015 0:00,8,10,1576
9/7/2015 0:00,11,10,1340
9/14/2015 0:00,9,10,1572
9/21/2015 0:00,11,9,1526
9/28/2015 0:00,16,9,1340
10/5/2015 0:00,12,16,2798
10/12/2015 0:00,16,16,3542
10/19/2015 0:00,16,16,3211
10/26/2015 0:00,12,17,3619
11/2/2015 0:00,18,17,3676
11/9/2015 0:00,20,17,3535
11/16/2015 0:00,33,17,3580
11/23/2015 0:00,17,17,2438
11/30/2015 0:00,12,16,3426
12/7/2015 0:00,26,17,3121
12/14/2015 0:00,18,17,3300
12/21/2015 0:00,10,17,2174
12/28/2015 0:00,9,17,2137
1/4/2016 0:00,18,16,3400
1/11/2016 0:00,18,17,3413
1/18/2016 0:00,11,17,3348
1/25/2016 0:00,14,17,3441
2/1/2016 0:00,12,16,2745
2/8/2016 0:00,25,17,3549
2/15/2016 0:00,24,17,3433
2/22/2016 0:00,35,16,3481
2/29/2016 0:00,53,17,3561
3/7/2016 0:00,56,16,3479
3/14/2016 0:00,29,17,3429
3/21/2016 0:00,32,16,3043
3/28/2016 0:00,37,17,3403
4/4/2016 0:00,26,16,3560
4/11/2016 0:00,16,16,3383
4/18/2016 0:00,12,16,3428
4/25/2016 0:00,20,16,3350
5/2/2016 0:00,11,15,3166
5/9/2016 0:00,10,14,2972
5/16/2016 0:00,9,12,2268
5/23/2016 0:00,4,10,1691
5/30/2016 0:00,8,10,1418
6/6/2016 0:00,7,10,1826
6/13/2016 0:00,5,10,1880
6/20/2016 0:00,8,8,1443
