date,ILITOTAL,NUMOFPROVIDERS,TOTALPATIENTS
10/4/2010 0:00,37,20,6711
10/11/2010 0:00,38,19,6089
10/18/2010 0:00,36,19,7425
10/25/2010 0:00,52,22,6917
11/1/2010 0:00,57,22,7452
11/8/2010 0:00,54,20,6965
11/15/2010 0:00,44,19,6688
11/22/2010 0:00,25,18,2350
11/29/2010 0:00,27,20,3759
12/6/2010 0:00,33,19,3367
12/13/2010 0:00,35,19,2509
12/20/2010 0:00,43,20,2087
12/27/2010 0:00,45,21,1959
1/3/2011 0:00,48,19,3926
1/10/2011 0:00,66,20,4012
1/17/2011 0:00,62,18,3257
1/24/2011 0:00,86,21,4067
1/31/2011 0:00,55,17,3389
2/7/2011 0:00,89,21,3955
2/14/2011 0:00,94,19,3667
2/21/2011 0:00,59,17,3259
2/28/2011 0:00,68,16,3557
3/7/2011 0:00,76,19,3633
3/14/2011 0:00,52,15,3200
3/21/2011 0:00,35,18,2128
3/28/2011 0:00,47,17,3644
4/4/2011 0:00,38,18,3769
4/11/2011 0:00,30,15,3106
4/18/2011 0:00,37,15,3450
4/25/2011 0:00,31,14,3230
5/2/2011 0:00,29,14,3136
5/9/2011 0:00,28,13,3011
5/16/2011 0:00,31,12,2873
5/23/2011 0:00,19,12,2942
5/30/2011 0:00,19,11,2334
6/6/2011 0:00,15,11,2606
6/13/2011 0:00,18,9,1669
6/20/2011 0:00,23,10,1775
6/27/2011 0:00,14,10,1793
7/4/2011 0:00,10,11,1543
7/11/2011 0:00,10,11,1794
7/18/2011 0:00,6,11,1919
7/25/2011 0:00,10,11,1845
8/1/2011 0:00,8,11,1782
8/8/2011 0:00,9,10,1859
8/15/2011 0:00,8,11,2085
8/22/2011 0:00,7,11,1948
8/29/2011 0:00,9,11,1856
9/5/2011 0:00,10,11,1782
9/12/2011 0:00,16,9,1519
9/19/2011 0:00,23,9,2015
9/26/2011 0:00,21,11,2799
10/3/2011 0:00,9,15,3403
10/10/2011 0:00,25,18,3684
10/17/2011 0:00,21,17,3604
10/24/2011 0:00,19,17,3266
10/31/2011 0:00,25,17,3672
11/7/2011 0:00,15,16,3216
11/14/2011 0:00,27,14,2930
11/21/2011 0:00,37,17,2526
11/28/2011 0:00,32,17,3779
12/5/2011 0:00,20,18,3593
12/12/2011 0:00,31,16,2473
12/19/2011 0:00,44,17,2551
12/26/2011 0:00,29,19,2312
1/2/2012 0:00,35,20,2810
1/9/2012 0:00,28,20,3907
1/16/2012 0:00,37,16,2868
1/23/2012 0:00,52,19,3721
1/30/2012 0:00,38,20,3940
2/6/2012 0:00,44,18,3994
2/13/2012 0:00,67,20,3834
2/20/2012 0:00,49,17,3529
2/27/2012 0:00,71,19,4133
3/5/2012 0:00,70,20,4219
3/12/2012 0:00,79,20,3925
3/19/2012 0:00,120,18,3273
3/26/2012 0:00,41,17,2109
4/2/2012 0:00,31,16,3599
4/9/2012 0:00,81,19,3941
4/16/2012 0:00,28,16,3446
4/23/2012 0:00,36,17,3480
4/30/2012 0:00,30,16,3439
5/7/2012 0:00,22,14,3231
5/14/2012 0:00,22,13,3264
5/21/2012 0:00,15,12,3113
5/28/2012 0:00,15,11,2410
6/4/2012 0:00,19,13,2966
6/11/2012 0:00,19,10,2620
6/18/2012 0:00,12,9,1681
6/25/2012 0:00,9,8,1697
7/2/2012 0:00,4,9,1361
7/9/2012 0:00,5,9,1891
7/16/2012 0:00,6,8,1565
7/23/2012 0:00,5,8,1453
7/30/2012 0:00,3,8,1622
8/6/2012 0:00,7,9,1543
8/13/2012 0:00,5,8,1582
8/20/2012 0:00,4,8,1402
8/27/2012 0:00,6,7,1324
9/3/2012 0:00,6,8,1301
9/10/2012 0:00,10,8,1471
9/17/2012 0:00,18,10,2268
9/24/2012 0:00,10,8,1457
10/1/2012 0:00,14,16,3835
10/8/2012 0:00,25,15,3317
10/15/2012 0:00,27,17,3485
10/22/2012 0:00,24,16,3388
10/29/2012 0:00,26,16,3245
11/5/2012 0:00,23,17,3473
11/12/2012 0:00,16,16,3636
