date,ILITOTAL,NUMOFPROVIDERS,TOTALPATIENTS
10/4/2010 0:00,122,64,17347
10/11/2010 0:00,157,64,17239
10/18/2010 0:00,161,64,18273
10/25/2010 0:00,133,65,18442
11/1/2010 0:00,181,66,18256
11/8/2010 0:00,184,63,17799
11/15/2010 0:00,170,60,17964
11/22/2010 0:00,144,67,12991
11/29/2010 0:00,217,65,17952
12/6/2010 0:00,203,61,16584
12/13/2010 0:00,196,58,14447
12/20/2010 0:00,214,55,10680
12/27/2010 0:00,243,56,10188
1/3/2011 0:00,257,56,12189
1/10/2011 0:00,322,61,13856
1/17/2011 0:00,439,64,16098
1/24/2011 0:00,681,61,16829
1/31/2011 0:00,758,65,17335
2/7/2011 0:00,687,60,18365
2/14/2011 0:00,663,62,18324
2/21/2011 0:00,591,59,17359
2/28/2011 0:00,485,57,16662
3/7/2011 0:00,368,54,13294
3/14/2011 0:00,328,57,16251
3/21/2011 0:00,253,50,15963
3/28/2011 0:00,244,50,15682
4/4/2011 0:00,264,49,15700
4/11/2011 0:00,213,48,15047
4/18/2011 0:00,144,49,14841
4/25/2011 0:00,142,46,14546
5/2/2011 0:00,141,43,13653
5/9/2011 0:00,120,41,12038
5/16/2011 0:00,113,40,11227
5/23/2011 0:00,95,40,11018
5/30/2011 0:00,98,38,9761
6/6/2011 0:00,111,36,10847
6/13/2011 0:00,75,37,10747
6/20/2011 0:00,81,37,9999
6/27/2011 0:00,64,37,10255
7/4/2011 0:00,82,38,9983
7/11/2011 0:00,55,34,10213
7/18/2011 0:00,60,34,10014
7/25/2011 0:00,54,34,10237
8/1/2011 0:00,50,31,9626
8/8/2011 0:00,62,34,9857
8/15/2011 0:00,56,32,9727
8/22/2011 0:00,57,34,12020
8/29/2011 0:00,67,37,12635
9/5/2011 0:00,76,38,12367
9/12/2011 0:00,113,38,13857
9/19/2011 0:00,139,38,14202
9/26/2011 0:00,188,39,24136
10/3/2011 0:00,150,59,20578
10/10/2011 0:00,161,59,19637
10/17/2011 0:00,168,62,20827
10/24/2011 0:00,186,61,20552
10/31/2011 0:00,206,63,21019
11/7/2011 0:00,228,64,21750
11/14/2011 0:00,201,62,20529
11/21/2011 0:00,193,63,14603
11/28/2011 0:00,217,61,18405
12/5/2011 0:00,180,62,17883
12/12/2011 0:00,192,60,16006
12/19/2011 0:00,203,55,12511
12/26/2011 0:00,228,59,10825
1/2/2012 0:00,183,56,11449
1/9/2012 0:00,205,57,13642
1/16/2012 0:00,201,58,14701
1/23/2012 0:00,217,57,16715
1/30/2012 0:00,219,57,16437
2/6/2012 0:00,236,55,17505
2/13/2012 0:00,230,56,17775
2/20/2012 0:00,232,55,17062
2/27/2012 0:00,213,53,16211
3/5/2012 0:00,172,53,13315
3/12/2012 0:00,199,54,14741
3/19/2012 0:00,205,53,16852
3/26/2012 0:00,214,54,16668
4/2/2012 0:00,184,51,14841
4/9/2012 0:00,196,53,16813
4/16/2012 0:00,193,52,17112
4/23/2012 0:00,148,51,16357
4/30/2012 0:00,143,50,15216
5/7/2012 0:00,127,47,12678
5/14/2012 0:00,119,45,12766
