date,ILITOTAL,NUMOFPROVIDERS,TOTALPATIENTS
10/4/2010 0:00,660,81,57721
10/11/2010 0:00,754,83,60977
10/18/2010 0:00,758,84,61855
10/25/2010 0:00,763,83,60125
11/1/2010 0:00,729,84,57607
11/8/2010 0:00,888,88,62905
11/15/2010 0:00,898,84,58600
11/22/2010 0:00,987,87,60654
11/29/2010 0:00,970,88,61726
12/6/2010 0:00,982,86,57786
12/13/2010 0:00,945,83,53894
12/20/2010 0:00,1260,89,57381
12/27/2010 0:00,1466,86,61175
1/3/2011 0:00,1596,87,64119
1/10/2011 0:00,1835,91,65278
1/17/2011 0:00,2719,91,68448
1/24/2011 0:00,3294,90,69460
1/31/2011 0:00,3859,91,72151
2/7/2011 0:00,3731,91,72740
2/14/2011 0:00,3743,91,72778
2/21/2011 0:00,3184,92,73043
2/28/2011 0:00,2411,92,69415
3/7/2011 0:00,1825,91,64358
3/14/2011 0:00,1561,92,68804
3/21/2011 0:00,1210,91,65301
3/28/2011 0:00,1173,92,64702
4/4/2011 0:00,1028,93,68000
4/11/2011 0:00,722,80,48569
4/18/2011 0:00,774,82,58721
4/25/2011 0:00,635,80,60064
5/2/2011 0:00,672,88,62644
5/9/2011 0:00,705,90,66245
5/16/2011 0:00,709,86,62220
5/23/2011 0:00,617,85,61739
5/30/2011 0:00,629,83,62193
6/6/2011 0:00,580,82,60114
6/13/2011 0:00,548,83,60150
6/20/2011 0:00,458,74,55290
6/27/2011 0:00,452,79,55265
7/4/2011 0:00,444,83,61333
7/11/2011 0:00,357,79,56725
7/18/2011 0:00,353,79,56413
7/25/2011 0:00,369,76,54767
8/1/2011 0:00,320,73,57113
8/8/2011 0:00,355,83,60282
8/15/2011 0:00,409,83,60376
8/22/2011 0:00,396,77,51117
8/29/2011 0:00,427,83,59040
9/5/2011 0:00,488,87,60971
9/12/2011 0:00,601,88,65598
9/19/2011 0:00,714,86,66060
9/26/2011 0:00,833,92,68658
10/3/2011 0:00,840,93,67252
10/10/2011 0:00,927,92,68447
10/17/2011 0:00,897,92,69938
10/24/2011 0:00,909,90,65470
10/31/2011 0:00,938,92,64590
11/7/2011 0:00,1023,91,66698
11/14/2011 0:00,1050,94,69646
11/21/2011 0:00,1009,92,63057
11/28/2011 0:00,1144,92,68123
12/5/2011 0:00,1014,94,66582
12/12/2011 0:00,1116,87,65565
12/19/2011 0:00,1145,92,65366
12/26/2011 0:00,1359,93,68808
1/2/2012 0:00,1264,94,70227
1/9/2012 0:00,946,92,67689
1/16/2012 0:00,1117,94,66982
1/23/2012 0:00,1034,94,70041
1/30/2012 0:00,1128,91,67086
2/6/2012 0:00,1020,93,68949
2/13/2012 0:00,1164,91,68782
2/20/2012 0:00,1163,91,71193
2/27/2012 0:00,1091,93,70250
3/5/2012 0:00,1077,93,68552
3/12/2012 0:00,1078,93,71660
3/19/2012 0:00,977,92,72181
3/26/2012 0:00,898,89,68734
4/2/2012 0:00,860,91,66854
4/9/2012 0:00,769,86,66739
4/16/2012 0:00,780,91,70922
4/23/2012 0:00,710,89,66880
4/30/2012 0:00,740,86,63802
5/7/2012 0:00,647,88,67365
5/14/2012 0:00,645,86,66597
5/21/2012 0:00,660,83,65632
5/28/2012 0:00,733,87,68642
6/4/2012 0:00,624,82,64470
6/11/2012 0:00,661,83,64541
6/18/2012 0:00,603,83,63085
6/25/2012 0:00,545,80,58112
7/2/2012 0:00,554,85,63572
7/9/2012 0:00,460,81,63841
7/16/2012 0:00,510,86,64757
7/23/2012 0:00,494,91,67240
7/30/2012 0:00,490,88,65452
8/6/2012 0:00,471,87,63704
